App:[caches],NumThreads:[0],AppSize:[96],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[96],Time:[18.1197], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[96],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[128],Time:[18.1165], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[128],Time:[18.1157], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[128],Time:[18.1103], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[128],Time:[18.1081], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[128],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[128],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[128],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[128],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[128],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[128],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[160],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[160],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[160],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[160],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[160],Time:[27.9874], TimeUnits:[Cycles Per Iteration],NumIterations:[4440],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[160],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[160],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[160],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[160],Time:[18.115], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[160],Time:[18.1312], TimeUnits:[Cycles Per Iteration],NumIterations:[5520],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[192],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[192],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[192],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[192],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[192],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[192],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[192],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[192],Time:[18.1098], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[192],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[192],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[224],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[224],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[224],Time:[18.1137], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[224],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[224],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[224],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[224],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[224],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[224],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[224],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[256],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[256],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[256],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[256],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[256],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[256],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[256],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[256],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[256],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[256],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[288],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[288],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[288],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[288],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[288],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[288],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[288],Time:[18.1116], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[288],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[288],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[288],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[320],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[320],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[320],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[320],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[320],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[320],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[320],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[320],Time:[18.1157], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[320],Time:[18.1103], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[320],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[352],Time:[18.1108], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[352],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[352],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[352],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[352],Time:[18.1121], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[352],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[352],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[352],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[352],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[352],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[384],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[384],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[384],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[384],Time:[18.1179], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[384],Time:[18.1179], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[384],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[384],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[384],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[384],Time:[18.119], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[384],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[416],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[416],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[416],Time:[18.1272], TimeUnits:[Cycles Per Iteration],NumIterations:[5520],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[416],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[416],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[416],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[416],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[416],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[416],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[416],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[448],Time:[18.1116], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[448],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[448],Time:[18.1161], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[448],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[448],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[448],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[448],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[448],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[448],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[448],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[480],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[480],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[480],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[480],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[480],Time:[18.1137], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[480],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[480],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[480],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[480],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[480],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[512],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[512],Time:[18.1137], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[512],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[512],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[512],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[512],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[512],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[512],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[512],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[512],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[544],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[544],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[544],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[544],Time:[18.1168], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[544],Time:[18.1157], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[544],Time:[18.1208], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[544],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[544],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[544],Time:[18.1127], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[544],Time:[18.1116], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[576],Time:[18.1118], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[576],Time:[18.1127], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[576],Time:[18.1127], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[576],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[576],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[576],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[576],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[576],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[576],Time:[18.1203], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[576],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[608],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[608],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[608],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[608],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[608],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[608],Time:[18.1157], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[608],Time:[18.1103], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[608],Time:[18.1112], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[608],Time:[18.1156], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[608],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[640],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[640],Time:[18.1078], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[640],Time:[18.1161], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[640],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[640],Time:[18.1159], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[640],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[640],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[640],Time:[18.113], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[640],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[640],Time:[18.1134], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[672],Time:[41.7012], TimeUnits:[Cycles Per Iteration],NumIterations:[4250],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[672],Time:[18.1199], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
App:[caches],NumThreads:[0],AppSize:[672],Time:[18.1161], TimeUnits:[Cycles Per Iteration],NumIterations:[5530],RunType:[0]
